GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_9435_10722	gb|AAF61147.1|ARO:3004751|BES-1	26.786	168	95	8	266	407	95	260	0.011	36.2	292	428
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_9435_10722	gb|AAL86999.1|ARO:3004782|ERP-1	26.712	146	79	5	288	407	123	266	0.029	35.0	293	428
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_9435_10722	gi|1028083092|ref|WP_063842248.1|	23.280	189	111	10	253	416	109	288	0.053	34.3	306	428
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_9435_10722	EU408346.1.gene6.p01	22.034	177	102	8	260	407	98	267	0.11	33.1	295	428
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_9435_10722	gi|896067497|ref|WP_049112183.1|	24.519	208	120	12	228	410	90	285	0.21	32.3	309	428
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_12009_12552	YP_001444376	30.476	105	56	6	40	144	39	126	0.001	36.6	154	180
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_12009_12552	YP_002666586	30.476	105	56	6	40	144	39	126	0.001	36.6	154	180
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_12009_12552	BAB59035	30.526	95	51	5	40	134	39	118	0.001	36.2	154	180
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_12009_12552	BAC58936	33.784	74	40	4	62	135	55	119	0.002	35.4	154	180
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_12009_12552	ZP_00990220	27.119	118	68	6	20	134	16	118	0.002	35.4	154	180
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_12573_14553	gb|ABX00624.1|ARO:3002881|lmrC	51.724	29	14	0	215	243	362	390	1.4	30.8	550	659
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_12573_14553	CP000675.2.gene498.p01	37.778	45	28	0	323	367	240	284	2.5	29.6	447	659
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_12573_14553	gb|XP_753111.1|ARO:3003942|abcA	29.487	78	43	3	169	243	95	163	2.7	30.0	1452	659
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_14878_16270	AY264780.2.gene3.p01	25.000	72	39	2	396	462	200	261	1.8	29.6	393	463
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_14878_16270	YP_002800019	31.944	72	44	3	392	461	69	137	2.9	28.9	277	463
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_30852_32049	BAA78801	31.148	61	41	1	27	87	271	330	1.6	29.3	336	398
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_30852_32049	ABF67771	31.148	61	41	1	27	87	270	329	1.6	29.3	335	398
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_30852_32049	ZP_01974653	31.148	61	41	1	27	87	270	329	1.7	29.3	335	398
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_30852_32049	ZP_03063004	31.148	61	41	1	27	87	248	307	1.8	29.3	313	398
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_30852_32049	gi|62736928|gb|AAX97756.1|	31.148	61	41	1	27	87	245	304	1.8	29.3	310	398
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_32301_33264	YP_001571041	33.333	57	25	3	83	138	103	147	7.7	26.9	648	320
GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_32301_33264	gi|960873409|ref|WP_058345546.1|	33.333	57	25	3	83	138	103	147	7.7	26.9	648	320
